Number of subspaces,Tests with subspace algorithm with higher acc,Number of tests
5,13,24
5,14,24
5,13,24
5,12,24
5,13,24
10,15,24
10,12,24
10,15,24
10,12,24
10,14,24
15,15,24
15,16,24
15,16,24
15,15,24
15,17,24
20,15,24
20,14,24
20,17,24
20,16,24
20,16,24
25,15,24
25,17,24
25,15,24
25,17,24
25,15,24
30,17,24
30,15,24
30,15,24
30,18,24
30,17,24
35,17,24
35,17,24
35,18,24
35,17,24
35,18,24
40,17,24
40,18,24
40,15,24
40,18,24
40,18,24
45,16,24
45,17,24
45,16,24
45,17,24
45,16,24
50,16,24
50,18,24
50,18,24
50,15,24
50,17,24
55,18,24
55,18,24
55,17,24
55,16,24
55,17,24
60,16,24
60,16,24
60,18,24
60,18,24
60,17,24
65,18,24
65,18,24
65,18,24
65,18,24
65,18,24
70,16,24
70,18,24
70,18,24
70,18,24
70,17,24
75,17,24
75,15,24
75,18,24
75,17,24
75,17,24
